Wavelenght	Global Total Spectral Irradiance. tilt 37Deg
200	-1.89e-19
201	-1.87e-19
202	-1.85e-19
203	-1.82e-19
204	-1.8e-19
205	-1.77e-19
206	-1.75e-19
207	-1.73e-19
208	-1.7e-19
209	-1.68e-19
210	-1.66e-19
211	-1.63e-19
212	-1.61e-19
213	-1.59e-19
214	-1.56e-19
215	-1.54e-19
216	-1.51e-19
217	-1.49e-19
218	-1.47e-19
219	-1.44e-19
220	-1.42e-19
221	-1.4e-19
222	-1.37e-19
223	-1.35e-19
224	-1.32e-19
225	-1.3e-19
226	-1.28e-19
227	-1.25e-19
228	-1.23e-19
229	-1.21e-19
230	-1.18e-19
231	-1.16e-19
232	-1.14e-19
233	-1.11e-19
234	-1.09e-19
235	-1.06e-19
236	-1.04e-19
237	-1.02e-19
238	-9.94e-20
239	-9.7e-20
240	-9.46e-20
241	-9.23e-20
242	-8.99e-20
243	-8.75e-20
244	-8.52e-20
245	-8.28e-20
246	-8.04e-20
247	-7.81e-20
248	-7.57e-20
249	-7.33e-20
250	-7.1e-20
251	-6.86e-20
252	-6.62e-20
253	-6.39e-20
254	-6.15e-20
255	-5.91e-20
256	-5.68e-20
257	-5.44e-20
258	-5.2e-20
259	-4.97e-20
260	-4.73e-20
261	-4.49e-20
262	-4.26e-20
263	-4.02e-20
264	-3.78e-20
265	-3.55e-20
266	-3.31e-20
267	-3.07e-20
268	-2.84e-20
269	-2.6e-20
270	-2.36e-20
271	-2.13e-20
272	-1.89e-20
273	-1.65e-20
274	-1.42e-20
275	-1.18e-20
276	-9.42e-21
277	-7.05e-21
278	-4.69e-21
279	-2.32e-21
280	4.73e-23
281	5.69e-21
282	1.19e-18
283	1.85e-17
284	7.27e-16
285	8.01e-15
286	1.37e-13
287	2.74e-12
288	6.23e-11
289	5.63e-10
290	6.02e-9
291	3.51e-8
292	2.68e-7
293	8.65e-7
294	4.17e-6
295	1.23e-5
296	4.79e-5
297	9.68e-5
298	2.9e-4
299	4.92e-4
300	0
301	0
302	0
303	0.01
304	0.01
305	0.02
306	0.02
307	0.03
308	0.04
309	0.04
310	0.05
311	0.08
312	0.09
313	0.11
314	0.12
315	0.14
316	0.12
317	0.17
318	0.18
319	0.2
320	0.21
321	0.25
322	0.22
323	0.21
324	0.28
325	0.28
326	0.38
327	0.4
328	0.35
329	0.42
330	0.47
331	0.4
332	0.44
333	0.43
334	0.41
335	0.46
336	0.42
337	0.37
338	0.43
339	0.46
340	0.5
341	0.47
342	0.49
343	0.51
344	0.42
345	0.46
346	0.48
347	0.49
348	0.48
349	0.47
350	0.53
351	0.55
352	0.52
353	0.52
354	0.6
355	0.61
356	0.55
357	0.46
358	0.43
359	0.47
360	0.6
361	0.52
362	0.53
363	0.6
364	0.61
365	0.62
366	0.74
367	0.72
368	0.67
369	0.69
370	0.76
371	0.69
372	0.67
373	0.62
374	0.56
375	0.59
376	0.67
377	0.71
378	0.86
379	0.74
380	0.7
381	0.76
382	0.59
383	0.45
384	0.51
385	0.67
386	0.62
387	0.65
388	0.64
389	0.69
390	0.8
391	0.85
392	0.79
393	0.48
394	0.5
395	0.81
396	0.76
397	0.43
398	0.85
399	1.07
400	1.11
401	1.16
402	1.21
403	1.16
404	1.18
405	1.15
406	1.12
407	1.1
408	1.15
409	1.23
410	1.05
411	1.17
412	1.25
413	1.2
414	1.18
415	1.23
416	1.26
417	1.23
418	1.18
419	1.23
420	1.12
421	1.28
422	1.26
423	1.22
424	1.21
425	1.25
426	1.21
427	1.17
428	1.18
429	1.1
430	0.87
431	0.79
432	1.32
433	1.23
434	1.14
435	1.25
436	1.37
437	1.39
438	1.22
439	1.18
440	1.35
441	1.33
442	1.43
443	1.45
444	1.41
445	1.46
446	1.31
447	1.49
448	1.51
449	1.5
450	1.56
451	1.62
452	1.55
453	1.43
454	1.53
455	1.52
456	1.57
457	1.59
458	1.55
459	1.54
460	1.53
461	1.58
462	1.6
463	1.6
464	1.55
465	1.54
466	1.57
467	1.5
468	1.56
469	1.57
470	1.51
471	1.53
472	1.61
473	1.55
474	1.57
475	1.62
476	1.56
477	1.57
478	1.62
479	1.59
480	1.62
481	1.62
482	1.62
483	1.6
484	1.57
485	1.57
486	1.27
487	1.42
488	1.54
489	1.45
490	1.62
491	1.56
492	1.49
493	1.59
494	1.55
495	1.65
496	1.57
497	1.59
498	1.55
499	1.55
500	1.55
501	1.5
502	1.5
503	1.57
504	1.46
505	1.56
506	1.63
507	1.56
508	1.52
509	1.59
510	1.55
511	1.58
512	1.62
513	1.52
514	1.49
515	1.53
516	1.55
